dim_transportadora,dim_cliente,dim_fornecedor,dim_produto,dim_tempo,faturamento,quantidade_vendida,imposto,custo_variavel
7,11,2,32,20230126,180.00,6,12.00,20.00
6,26,1,41,20230127,250.00,10,20.00,35.00
2,41,4,10,20230128,100.25,3,6.00,10.50
3,8,3,18,20230129,50.50,2,4.50,8.00
1,17,1,7,20230130,70.75,4,7.50,12.50
5,33,5,26,20230131,120.00,5,10.00,18.50
4,49,2,4,20230201,180.50,6,12.50,22.00
2,25,4,12,20230202,150.25,5,10.50,19.00
1,7,1,37,20230203,200.00,8,15.50,27.00
3,21,3,6,20230204,90.75,3,6.50,11.75
6,3,2,22,20230205,100.50,4,8.50,15.00
1,14,1,11,20230206,80.25,3,6.00,9.50
5,31,5,40,20230207,120.00,5,10.00,16.50
4,47,4,3,20230208,70.50,2,5.00,8.50
3,16,3,19,20230209,250.00,10,20.00,30.00
2,5,2,8,20230210,150.50,5,10.00,20.50
1,40,1,35,20230211,75.25,2,5.50,10.00
5,9,3,15,20230212,200.00,8,15.00,25.00
4,23,5,2,20230213,120.75,4,8.00,15.75
2,38,3,23,20230214,90.50,3,6.50,12.00
6,11,2,32,20230215,180.00,6,12.00,20.00
3,26,1,41,20230216,250.00,10,20.00,35.00
1,41,4,10,20230217,100.25,3,6.00,10.50
5,8,3,18,20230218,50.50,2,4.50,8.00
1,17,1,7,20230219,70.75,4,7.50,12.50
4,33,5,26,20230220,120.00,5,10.00,18.50
2,49,2,4,20230221,180.50,6,12.50,22.00
3,25,4,12,20230222,150.25,5,10.50,19.00
6,7,1,37,20230223,200.00,8,15.50,27.00
1,21,3,6,20230224,90.75,3,6.50,11.75
4,3,2,22,20230225,100.50,4,8.50,15.00
4,12,3,25,20230101,150.00,5,10.00,20.00
2,29,1,14,20230102,80.50,3,5.50,10.00
7,7,5,39,20230103,200.00,8,15.00,25.00
9,21,2,6,20230104,120.75,4,8.00,15.75
5,38,4,23,20230105,90.50,3,6.50,12.00
1,9,3,2,20230106,180.00,6,12.00,20.00
3,25,1,33,20230107,250.00,10,20.00,35.00
6,40,5,10,20230108,100.25,3,6.00,10.50
8,6,2,18,20230109,50.50,2,4.50,8.00
10,15,4,7,20230110,70.75,4,7.50,12.50
2,31,3,26,20230111,120.00,5,10.00,18.50
1,47,1,4,20230112,180.50,6,12.50,22.00
4,24,5,12,20230113,150.25,5,10.50,19.00
5,5,3,37,20230114,200.00,8,15.50,27.00
7,19,2,6,20230115,90.75,3,6.50,11.75
3,2,1,22,20230116,100.50,4,8.50,15.00
6,13,4,11,20230117,80.25,3,6.00,9.50
9,30,3,40,20230118,120.00,5,10.00,16.50
1,46,5,3,20230119,70.50,2,5.00,8.50
2,16,2,19,20230120,250.00,10,20.00,30.00
4,4,1,8,20230121,150.50,5,10.00,20.50
5,39,4,35,20230122,75.25,2,5.50,10.00
8,8,3,15,20230123,200.00,8,15.00,25.00
9,22,5,2,20230124,120.75,4,8.00,15.75
1,37,3,23,20230125,90.50,3,6.50,12.00
3,10,2,32,20230126,180.00,6,12.00,20.00
6,26,1,41,20230127,250.00,10,20.00,35.00
7,41,4,10,20230128,100.25,3,6.00,10.50
4,7,3,18,20230129,50.50,2,4.50,8.00
2,16,1,7,20230130,70.75,4,7.50,12.50
10,32,5,26,20230131,120.00,5,10.00,18.50
5,48,2,4,20230201,180.50,6,12.50,22.00
4,25,4,12,20230202,150.25,5,10.50,19.00
6,6,1,37,20230203,200.00,8,15.50,27.00
3,20,3,6,20230204,90.75,3,6.50,11.75
1,3,2,22,20230205,100.50,4,8.50,15.00
7,14,1,11,20230206,80.25,3,6.00,9.50
10,31,3,40,20230207,120.00,5,10.00,16.50
5,47,1,4,20230208,70.50,2,5.00,8.50
2,24,5,12,20230209,250.00,10,20.00,30.00
3,5,3,37,20230210,150.50,5,10.00,20.50
8,19,2,6,20230211,75.25,2,5.50,10.00
9,2,1,22,20230212,200.00,8,15.00,25.00
1,13,4,11,20230213,120.75,4,8.00,15.75
4,30,3,40,20230214,90.50,3,6.50,12.00
5,46,1,4,20230215,180.00,6,12.00,20.00
