dim_transportadora,dim_cliente,dim_fornecedor,dim_produto,dim_tempo,faturamento,quantidade_vendida,imposto,custo_variavel
10,57,2,41,20210405,200.0,4,12.0,40.0
1,7,4,5,20210522,80.0,1,5.0,15.0
9,10,1,30,20210614,150.0,3,10.0,35.0
6,43,3,8,20210701,280.0,6,14.0,60.0
4,26,2,25,20210718,210.0,5,12.0,45.0
8,52,5,11,20210810,190.0,4,10.0,35.0
2,15,4,14,20210827,120.0,3,8.0,25.0
7,33,3,33,20210914,270.0,6,15.0,55.0
3,47,1,18,20211001,230.0,5,12.0,40.0
5,22,5,4,20211018,100.0,2,5.0,20.0
1,8,4,3,20211122,80.0,1,5.0,15.0
9,11,1,21,20211209,200.0,4,10.0,30.0
6,44,3,16,20211226,290.0,7,15.0,65.0
4,27,2,29,20220112,220.0,5,12.0,45.0
2,16,4,13,20220215,110.0,2,8.0,20.0
7,34,3,28,20220304,260.0,6,14.0,50.0
3,48,1,38,20220321,210.0,5,12.0,40.0
5,23,5,1,20220407,90.0,2,5.0,15.0
1,9,4,7,20220511,90.0,1,5.0,15.0
9,12,1,34,20220528,180.0,4,10.0,30.0
6,45,3,20,20220614,320.0,8,16.0,70.0
8,54,5,26,20220718,200.0,4,10.0,35.0
2,17,4,24,20220804,130.0,3,8.0,25.0
7,35,3,32,20220821,290.0,7,15.0,60.0
3,49,1,42,20220907,240.0,6,14.0,50.0
5,24,5,10,20220924,120.0,3,8.0,20.0
1,10,4,2,20221028,100.0,2,5.0,15.0
9,13,1,23,20221114,230.0,5,12.0,40.0
4,29,2,27,20221217,250.0,6,14.0,50.0
8,55,5,39,20230103,220.0,4,10.0,35.0
2,18,4,31,20230120,140.0,3,8.0,25.0
7,36,3,45,20230206,310.0,7,15.0,60.0
3,50,1,44,20230223,260.0,6,14.0,50.0
5,25,5,6,20230312,110.0,2,5.0,15.0
1,11,4,46,20230415,120.0,3,8.0,20.0
9,14,1,22,20230402,250.0,6,14.0,50.0
6,47,3,17,20230519,330.0,8,16.0,70.0
3,10,2,15,20200101,150.5,5,10.0,20.0
7,32,4,23,20200203,200.0,8,12.0,25.0
1,17,3,7,20200307,50.75,2,5.0,15.0
9,45,1,31,20200412,300.25,10,15.0,30.0
5,21,5,11,20200522,100.0,4,8.0,18.0
2,57,4,16,20200602,75.5,3,6.0,12.0
8,12,1,38,20200708,250.0,6,10.0,22.5
4,40,2,25,20200814,175.0,7,11.0,20.0
6,6,3,42,20200925,225.75,9,14.0,28.5
10,28,5,19,20201030,125.5,4,7.0,15.5
3,8,4,14,20201110,100.0,4,7.0,18.0
7,48,3,3,20201215,50.0,2,5.0,12.0
1,13,1,30,20210120,275.25,9,13.0,27.0
9,36,2,8,20210228,150.5,5,10.0,20.5
5,23,5,12,20210405,75.0,3,6.0,15.0
2,54,4,21,20210511,175.5,7,11.0,22.0
8,10,1,39,20210620,325.0,11,16.0,35.0
4,38,2,26,20210725,200.75,8,12.0,24.0
6,4,3,43,20210831,275.0,9,13.0,30.5
10,26,5,20,20211007,150.0,5,9.0,17.5
3,15,4,13,20211114,125.25,4,8.0,18.5
7,43,3,5,20211220,100.0,4,7.0,16.0
1,18,1,32,20220125,300.5,10,15.0,28.0
9,41,2,9,20220305,175.75,7,11.0,23.5
5,19,5,14,20220412,100.0,4,7.0,15.0
2,56,4,22,20220520,225.5,9,14.0,26.5
8,11,1,40,20220625,350.0,12,17.0,40.0
4,39,2,27,20220730,250.75,8,12.0,26.5
6,5,3,44,20220905,325.0,11,16.0,32.5
10,27,5,21,20221011,175.5,7,11.0,20.0
3,14,4,12,20221118,150.25,5,10.0,18.0
7,47,3,4,20221224,75.0,3,6.0,12.5
1,16,1,31,20230129,275.75,9,13.0,30.0
9,35,2,7,20230309,125.5,4,7.0,15.5
5,22,5,15,20230415,100.0,4,7.0,16.0
8,9,1,37,20230603,275.0,9,13.0,32.0
2,17,3,8,20210101,250.0,5,20.0,50.0
4,42,1,23,20210105,150.0,3,10.0,30.0
1,5,4,12,20210110,180.0,2,15.0,40.0
3,33,2,31,20210215,350.0,7,30.0,70.0
5,22,5,16,20210220,120.0,4,5.0,20.0
2,10,3,6,20210303,280.0,6,25.0,60.0
1,57,4,9,20210308,200.0,5,20.0,50.0
3,12,1,35,20210320,150.0,3,10.0,30.0
4,48,2,18,20210401,190.0,4,15.0,40.0
5,27,5,26,20210405,320.0,8,30.0,70.0
2,15,3,14,20210510,180.0,4,10.0,30.0
1,41,4,7,20210515,210.0,5,15.0,40.0
3,3,1,39,20210601,260.0,6,20.0,50.0
4,38,2,21,20210605,150.0,3,5.0,20.0
5,8,5,33,20210620,280.0,7,25.0,60.0
1,20,4,4,20210705,180.0,4,10.0,30.0
3,45,1,37,20210715,190.0,4,15.0,40.0
4,25,2,19,20210720,350.0,8,30.0,70.0
5,13,5,27,20210803,120.0,3,5.0,20.0
2,35,3,15,20210808,300.0,6,25.0,60.0
1,2,4,10,20210820,210.0,5,20.0,50.0
3,47,1,34,20210901,240.0,6,15.0,40.0
4,19,2,17,20210905,180.0,4,10.0,30.0
5,50,5,24,20210920,320.0,8,30.0,70.0
2,31,3,13,20211001,170.0,4,10.0,30.0
1,52,4,8,20211005,220.0,5,15.0,40.0
3,9,1,32,20211015,260.0,6,20.0,50.0
4,40,2,20,20211020,140.0,3,5.0,20.0
5,18,5,25,20211103,300.0,7,25.0,60.0
2,28,3,10,20211108,190.0,4,15.0,40.0
1,1,4,3,20211120,180.0,4,10.0,30.0
3,49,1,36,20211201,230.0,5,20.0,50.0
4,23,2,16,20211205,160.0,4,10.0,30.0
5,6,5,23,20211220,310.0,8,30.0,70.0
2,39,3,9,20220101,200.0,5,15.0,40.0
1,51,4,2,20220105,210.0,4,10.0,30.0
3,11,1,38,20220115,250.0,6,20.0,50.0
4,37,2,22,20220120,180.0,3,5.0,20.0
5,16,5,30,20220203,280.0,7,25.0,60.0
2,34,3,12,20220208,190.0,4,15.0,40.0
1,3,4,5,20220220,180.0,4,10.0,30.0
3,46,1,40,20220301,220.0,5,20.0,50.0
4,24,2,14,20220305,150.0,3,5.0,20.0
5,7,5,28,20220320,320.0,8,30.0,70.0
2,30,3,11,20220401,250.0,6,20.0,50.0
1,54,4,6,20220405,180.0,4,10.0,30.0
3,14,1,35,20220415,190.0,4,15.0,40.0
4,43,2,18,20220420,350.0,8,30.0,70.0
5,21,5,26,20220503,120.0,3,5.0,20.0
4,22,2,10,20210315,150.25,3,10.50,35.80
7,41,5,22,20220702,98.50,2,7.25,25.00
2,12,1,7,20210207,75.60,5,5.40,22.15
1,37,3,14,20220819,120.80,4,8.60,30.40
9,6,4,9,20230123,205.40,6,14.75,45.60
3,18,2,3,20211205,85.90,2,6.10,20.30
8,27,3,6,20220308,72.35,3,5.05,18.60
6,49,4,19,20221030,180.15,4,12.60,40.80
10,9,5,2,20230101,56.75,2,3.95,15.20
4,44,2,8,20220917,92.40,3,6.50,24.10
7,29,1,26,20221112,175.80,4,12.40,38.75
2,15,1,11,20210623,65.20,2,4.60,17.90
1,32,3,9,20220530,140.50,3,9.85,31.90
5,56,1,41,20220114,39.80,1,2.80,10.00
9,4,4,7,20230131,225.10,5,15.75,50.00
3,20,2,4,20210907,80.75,2,5.65,19.60
8,25,3,6,20221226,68.90,3,4.80,17.20
6,50,4,17,20220905,195.60,5,13.75,42.50
10,8,5,1,20230223,52.40,2,3.70,14.80
4,48,2,9,20221004,84.20,2,5.90,21.00
7,31,1,27,20221017,160.35,4,11.25,35.50
2,13,1,13,20210502,72.80,3,5.10,18.80
1,36,3,7,20220807,135.60,4,9.50,30.00
5,54,1,36,20220219,48.90,1,3.40,11.80
9,7,4,11,20230115,195.40,5,13.70,41.80
3,19,2,4,20211129,82.10,2,5.75,20.50
8,28,3,6,20220210,69.75,3,4.90,17.60
6,51,4,15,20221011,180.25,4,12.70,39.80
10,10,5,1,20230205,50.80,2,3.55,14.40
4,43,2,8,20220829,88.60,3,6.20,23.30
7,30,1,24,20221026,145.20,3,10.15,32.50
2,14,1,12,20210331,67.90,2,4.75,17.60
1,33,3,8,20220613,128.75,4,9.00,29.00
5,55,1,42,20220129,44.60,1,3.15,10.60
9,5,4,8,20230110,215.80,6,15.10,47.50
3,21,2,4,20211020,85.25,2,6.00,20.10
8,26,3,6,20221205,70.40,3,4.95,17.80
6,52,4,16,20221002,185.90,5,13.05,40.20
10,11,5,1,20230216,54.30,2,3.80,15.00
4,42,2,8,20220812,94.80,3,6.65,22.70
7,35,1,29,20221008,155.60,3,10.90,33.20
2,16,1,10,20210417,71.50,2,5.00,17.40
1,34,3,7,20220724,132.80,4,9.30,29.80
5,57,1,45,20220206,42.10,1,2.95,10.20
9,3,4,6,20230203,195.20,5,13.65,41.40
3,17,2,3,20211006,87.90,2,6.15,21.40
8,24,3,5,20221126,68.20,3,4.75,17.00
6,47,4,14,20220922,175.10,4,12.25,38.40
10,9,5,2,20221219,55.60,2,3.90,15.60
7,12,2,4,20210102,150.50,5,10.00,25.20
3,23,4,11,20210215,75.80,2,5.50,12.60
9,31,1,19,20210325,200.00,8,15.00,40.00
1,45,3,7,20210412,50.00,3,3.00,10.00
6,50,5,15,20210530,120.30,4,8.20,20.50
10,14,4,8,20210618,90.20,6,6.50,15.30
4,8,2,31,20210710,180.00,7,12.00,30.00
5,37,1,27,20210803,40.50,1,2.50,8.10
2,19,5,3,20210921,60.80,3,4.50,12.80
8,52,3,12,20211017,100.00,4,7.00,20.00
7,12,2,4,20230102,150.50,5,10.00,25.20
3,23,4,11,20230115,75.80,2,5.50,12.60
9,31,1,19,20230225,200.00,8,15.00,40.00
1,45,3,7,20230212,50.00,3,3.00,10.00
6,50,5,15,20230228,120.30,4,8.20,20.50
10,14,4,8,20230318,90.20,6,6.50,15.30
4,8,2,31,20230310,180.00,7,12.00,30.00
5,37,1,27,20230103,40.50,1,2.50,8.10
2,19,5,3,20230321,60.80,3,4.50,12.80
8,52,3,12,20230127,100.00,4,7.00,20.00
1,15,2,3,20230101,150.50,5,10.00,20.50
2,30,4,12,20230105,75.25,2,5.50,10.00
3,42,1,8,20230110,200.00,8,15.00,25.00
4,18,5,20,20230115,120.75,4,8.00,15.75
5,51,3,6,20230120,90.50,3,6.50,12.00
6,9,2,15,20230125,180.00,6,12.00,20.00
7,5,1,30,20230131,250.00,10,20.00,35.00
8,38,4,11,20230205,100.25,3,6.00,10.50
9,23,3,4,20230210,50.50,2,4.50,8.00
10,11,5,9,20230215,70.75,4,7.50,12.50
1,47,2,17,20230220,120.00,5,10.00,18.50
2,19,1,25,20230225,180.50,6,12.50,22.00
3,33,4,13,20230228,150.25,5,10.50,19.00
4,7,3,7,20230305,200.00,8,15.50,27.00
5,49,2,5,20230310,90.75,3,6.50,11.75
6,14,5,10,20230315,100.50,4,8.50,15.00
7,27,1,3,20230320,80.25,3,6.00,9.50
8,41,3,14,20230325,120.00,5,10.00,16.50
9,8,4,19,20230328,70.50,2,5.00,8.50
10,52,2,24,20230331,250.00,10,20.00,30.00
1,20,1,23,20230105,150.50,5,10.00,20.50
2,36,4,16,20230110,75.25,2,5.50,10.00
3,43,1,22,20230115,200.00,8,15.00,25.00
4,29,5,1,20230120,120.75,4,8.00,15.75
5,50,3,18,20230125,90.50,3,6.50,12.00
6,12,2,27,20230131,180.00,6,12.00,20.00
7,3,1,16,20230205,250.00,10,20.00,35.00
8,39,4,3,20230210,100.25,3,6.00,10.50
9,25,3,25,20230215,50.50,2,4.50,8.00
10,17,5,9,20230220,70.75,4,7.50,12.50
1,32,2,13,20230225,120.00,5,10.00,18.50
2,6,1,8,20230228,180.50,6,12.50,22.00
3,45,4,2,20230305,150.25,5,10.50,19.00
4,24,3,6,20230310,200.00,8,15.50,27.00
6,13,5,11,20230320,100.50,4,8.50,15.00
7,34,1,21,20230325,80.25,3,6.00,9.50
8,46,3,4,20230328,120.00,5,10.00,16.50
9,26,4,10,20230331,70.50,2,5.00,8.50
10,16,2,26,20230110,250.00,10,20.00,30.00
